no,topic,description,example
95,Discrete Probability,"Discrete Probability: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
96,Number Theory,"Number Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
97,Modular Arithmetic,"Modular Arithmetic: concept explanation, key properties, and mathematical context.",Example: 3/4 + 2/5 = (15+8)/20 = 23/20 = 1.15.
98,Prime Numbers,"Prime Numbers: concept explanation, key properties, and mathematical context.","Example: gcd(56,42)=14 via Euclidean algorithm."
99,GCD and LCM,"GCD and LCM: concept explanation, key properties, and mathematical context.","Example: gcd(56,42)=14 via Euclidean algorithm."
100,Group Theory,"Group Theory: concept explanation, key properties, and mathematical context.","Example: (ℤ,+) is abelian group; (ℝ,×) not group (no inverse for 0)."
101,Ring Theory,"Ring Theory: concept explanation, key properties, and mathematical context.","Example: (ℤ,+) is abelian group; (ℝ,×) not group (no inverse for 0)."
102,Field Theory,"Field Theory: concept explanation, key properties, and mathematical context.","Example: (ℤ,+) is abelian group; (ℝ,×) not group (no inverse for 0)."
103,Vector Spaces,"Vector Spaces: concept explanation, key properties, and mathematical context.","Example: a=(2,3), b=(1,4); dot=a·b=2*1+3*4=14."
104,Linear Transformations,"Linear Transformations: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
105,Abstract Algebra,"Abstract Algebra: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
106,Topology,"Topology: concept explanation, key properties, and mathematical context.","Example: Open set (0,1)⊂ℝ; union of opens is open."
107,Metric Spaces,"Metric Spaces: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
108,Manifolds,"Manifolds: concept explanation, key properties, and mathematical context.",Example: Circle S¹ is 1‑D compact manifold embedded in ℝ².
109,Differential Geometry,"Differential Geometry: concept explanation, key properties, and mathematical context.",Example: Area of triangle = ½bh = ½×5×8 = 20.
110,Tensor Calculus,"Tensor Calculus: concept explanation, key properties, and mathematical context.",Example: Rank‑2 tensor Aᵢⱼ represents matrix; transforms under basis change.
111,Measure Theory,"Measure Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
112,Functional Analysis,"Functional Analysis: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
113,Real Analysis,"Real Analysis: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
114,Complex Analysis,"Complex Analysis: concept explanation, key properties, and mathematical context.",Example: (2+3i)+(1−5i)=3−2i; |z|=√(a²+b²).
115,Statistics in Machine Learning,"Statistics in Machine Learning: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
116,Optimization Algorithms,"Optimization Algorithms: concept explanation, key properties, and mathematical context.",Example: BFS explores nodes level-wise; for adjacency list traversal O(V+E).
117,Differential Equations in Physics,"Differential Equations in Physics: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
118,Probability in Finance,"Probability in Finance: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
119,Linear Regression,"Linear Regression: concept explanation, key properties, and mathematical context.",Example: Simple linear regression y=2x+1; for x=3→ŷ=7.
120,Logistic Regression,"Logistic Regression: concept explanation, key properties, and mathematical context.",Example: Simple linear regression y=2x+1; for x=3→ŷ=7.
121,Neural Networks,"Neural Networks: concept explanation, key properties, and mathematical context.",Example: Loss=(y−ŷ)²; update w←w−η∂L/∂w.
122,Support Vector Machines,"Support Vector Machines: concept explanation, key properties, and mathematical context.","Example: a=(2,3), b=(1,4); dot=a·b=2*1+3*4=14."
123,Principal Component Analysis,"Principal Component Analysis: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
124,Fourier Series Applications,"Fourier Series Applications: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
125,Game Theory,"Game Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
126,Chaos Theory,"Chaos Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
127,Fractals,"Fractals: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
128,Cryptography,"Cryptography: concept explanation, key properties, and mathematical context.",Example: BFS explores nodes level-wise; for adjacency list traversal O(V+E).
129,Information Theory,"Information Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
130,Control Theory,"Control Theory: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
131,Basic Equation,"Basic Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
132,Intermediate Equation,"Intermediate Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
133,Advanced Equation,"Advanced Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
134,Nonlinear Equation,"Nonlinear Equation: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
135,Cubic Equation,"Cubic Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
136,Stochastic Equation,"Stochastic Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
137,Deterministic Equation,"Deterministic Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
138,Discrete Equation,"Discrete Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
139,Continuous Equation,"Continuous Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
140,Differentiable Equation,"Differentiable Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
141,Integrable Equation,"Integrable Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
142,Convex Equation,"Convex Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
143,Concave Equation,"Concave Equation: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
144,Basic Function,"Basic Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
145,Intermediate Function,"Intermediate Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
146,Advanced Function,"Advanced Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
147,Nonlinear Function,"Nonlinear Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
148,Linear Function,"Linear Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
149,Quadratic Function,"Quadratic Function: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
150,Cubic Function,"Cubic Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
151,Stochastic Function,"Stochastic Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
152,Deterministic Function,"Deterministic Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
153,Discrete Function,"Discrete Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
154,Continuous Function,"Continuous Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
155,Differentiable Function,"Differentiable Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
156,Integrable Function,"Integrable Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
157,Convex Function,"Convex Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
158,Concave Function,"Concave Function: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
159,Basic Curve,"Basic Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
160,Intermediate Curve,"Intermediate Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
161,Advanced Curve,"Advanced Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
162,Nonlinear Curve,"Nonlinear Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
163,Linear Curve,"Linear Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
164,Quadratic Curve,"Quadratic Curve: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
165,Cubic Curve,"Cubic Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
166,Stochastic Curve,"Stochastic Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
167,Deterministic Curve,"Deterministic Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
168,Discrete Curve,"Discrete Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
169,Continuous Curve,"Continuous Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
170,Differentiable Curve,"Differentiable Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
171,Integrable Curve,"Integrable Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
172,Convex Curve,"Convex Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
173,Concave Curve,"Concave Curve: concept explanation, key properties, and mathematical context.",Example: include numeric or symbolic demonstration for the formula or theorem.
174,Basic Series,"Basic Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
175,Intermediate Series,"Intermediate Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
176,Advanced Series,"Advanced Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
177,Nonlinear Series,"Nonlinear Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
178,Linear Series,"Linear Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
179,Quadratic Series,"Quadratic Series: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
180,Cubic Series,"Cubic Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
181,Stochastic Series,"Stochastic Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
182,Deterministic Series,"Deterministic Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
183,Discrete Series,"Discrete Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
184,Continuous Series,"Continuous Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
185,Differentiable Series,"Differentiable Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
186,Integrable Series,"Integrable Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
187,Convex Series,"Convex Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
188,Concave Series,"Concave Series: concept explanation, key properties, and mathematical context.","Example: Arithmetic series Sₙ=n(a₁+aₙ)/2; for 1+2+3+...+10, S₁₀=55."
189,Basic Distribution,"Basic Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
190,Intermediate Distribution,"Intermediate Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
191,Advanced Distribution,"Advanced Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
192,Nonlinear Distribution,"Nonlinear Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
193,Linear Distribution,"Linear Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
194,Quadratic Distribution,"Quadratic Distribution: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
195,Cubic Distribution,"Cubic Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
196,Stochastic Distribution,"Stochastic Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
197,Deterministic Distribution,"Deterministic Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
198,Discrete Distribution,"Discrete Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
199,Continuous Distribution,"Continuous Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
200,Differentiable Distribution,"Differentiable Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
201,Integrable Distribution,"Integrable Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
202,Convex Distribution,"Convex Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
203,Concave Distribution,"Concave Distribution: concept explanation, key properties, and mathematical context.","Example: Toss a coin → P(Head)=½. Mean of [2,4,6]=4."
204,Basic Matrix,"Basic Matrix: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
205,Intermediate Matrix,"Intermediate Matrix: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
206,Advanced Matrix,"Advanced Matrix: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
207,Nonlinear Matrix,"Nonlinear Matrix: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
208,Linear Matrix,"Linear Matrix: concept explanation, key properties, and mathematical context.","Example: det([[2,3],[1,4]]) = 2*4 - 3*1 = 5."
209,Quadratic Matrix,"Quadratic Matrix: concept explanation, key properties, and mathematical context.","Example: Solve x² - 5x + 6 = 0 → x=2,3."
